CODIGO_ACCIDENTE,FECHA,CODIGO_CAUSA
4401888,10/01/2015,121
4401887,10/01/2015,308
4401886,10/01/2015,112
4401890,10/01/2015,134
4401893,10/01/2015,112
4401891,10/01/2015,121
4401892,10/01/2015,112
4401892,10/01/2015,112
4401895,10/01/2015,121
4401898,10/01/2015,121
4401896,10/01/2015,157
4401896,10/01/2015,99
4401899,10/01/2015,142
4401899,10/01/2015,142
4401900,10/01/2015,103
4401903,10/01/2015,114
4401912,10/01/2015,97
4401907,10/01/2015,121
4401915,10/01/2015,139
4401918,10/01/2015,121
4401923,10/01/2015,157
4401923,10/01/2015,157
4401925,10/01/2015,115
4401931,10/01/2015,143
4401930,10/01/2015,157
4401930,10/01/2015,157
4401932,10/01/2015,303
4401934,10/01/2015,134
4401935,10/01/2015,157
4401936,10/01/2015,134
4401940,10/01/2015,103
4401938,10/01/2015,112
4401944,10/01/2015,103
4401942,10/01/2015,103
4401947,10/01/2015,121
4401945,10/01/2015,409
4401950,10/01/2015,411
4401962,10/01/2015,121
4401970,10/01/2015,115
4401968,10/01/2015,157
4401974,10/01/2015,121
4401980,10/01/2015,103
4401978,10/01/2015,121
4401982,10/01/2015,102
4401985,10/01/2015,134
4401986,10/01/2015,411
4401989,10/01/2015,409
4401990,10/01/2015,142
4401994,10/01/2015,121
4401999,10/01/2015,410
4402009,10/01/2015,157
4402062,10/01/2015,157
4402078,10/01/2015,157
4402078,10/01/2015,112
4402638,10/01/2015,121
4401878,10/01/2015,139
4425439,10/01/2015,202
4401871,11/01/2015,116
4401870,11/01/2015,122
4401871,11/01/2015,103
4401884,11/01/2015,119
4401884,11/01/2015,121
4401901,11/01/2015,122
4401904,11/01/2015,157
4401909,11/01/2015,157
4401906,11/01/2015,103
4401916,11/01/2015,506
4401916,11/01/2015,154
4401920,11/01/2015,157
4401922,11/01/2015,410
4401927,11/01/2015,106
4401933,11/01/2015,127
4401946,11/01/2015,121
4401948,11/01/2015,105
4401951,11/01/2015,121
4401953,11/01/2015,112
4401961,11/01/2015,143
4401964,11/01/2015,146
4401967,11/01/2015,157
4401967,11/01/2015,157
4401971,11/01/2015,121
4401977,11/01/2015,121
4401976,11/01/2015,119
4401979,11/01/2015,103
4401991,11/01/2015,121
4401992,11/01/2015,127
4401997,11/01/2015,157
4401998,11/01/2015,157
4402042,11/01/2015,121
4402105,11/01/2015,121
4401902,11/01/2015,103
4401874,12/01/2015,411
4401975,12/01/2015,128
4401874,12/01/2015,409
4401882,12/01/2015,121
4401897,12/01/2015,203
4401908,12/01/2015,112
4401917,12/01/2015,112
4401921,12/01/2015,404
4401926,12/01/2015,410
4401939,12/01/2015,134
4401943,12/01/2015,114
4401949,12/01/2015,121
4401954,12/01/2015,121
4401954,12/01/2015,103
4401956,12/01/2015,121
4401957,12/01/2015,127
4401960,12/01/2015,123
4401965,12/01/2015,103
4401969,12/01/2015,119
4401973,12/01/2015,103
4401975,12/01/2015,141
4401975,12/01/2015,112
4401983,12/01/2015,142
4401983,12/01/2015,142
4401981,12/01/2015,157
4401981,12/01/2015,112
4401987,12/01/2015,112
4401988,12/01/2015,134
4401993,12/01/2015,121
4401995,12/01/2015,157
4401996,12/01/2015,119
4402004,12/01/2015,103
4402004,12/01/2015,116
4402004,12/01/2015,308
4402005,12/01/2015,142
4402001,12/01/2015,157
4402001,12/01/2015,157
4402007,12/01/2015,411
4402006,12/01/2015,121
4402011,12/01/2015,103
4402011,12/01/2015,98
4402015,12/01/2015,411
4402015,12/01/2015,157
4402020,12/01/2015,411
4402026,12/01/2015,122
4402036,12/01/2015,411
4402031,12/01/2015,103
4402031,12/01/2015,306
4402034,12/01/2015,122
4402046,12/01/2015,121
4404748,12/01/2015,121
4401875,12/01/2015,411
4402061,13/01/2015,132
4402094,13/01/2015,121
4402092,13/01/2015,411
4402000,13/01/2015,112
4402002,13/01/2015,154
4402008,13/01/2015,115
4402014,13/01/2015,121
4402017,13/01/2015,306
4402016,13/01/2015,103
4402016,13/01/2015,157
4402019,13/01/2015,98
4402018,13/01/2015,132
4402021,13/01/2015,102
4402024,13/01/2015,411
4402023,13/01/2015,121
4402023,13/01/2015,122
4402025,13/01/2015,119
4402027,13/01/2015,157
4402028,13/01/2015,145
4402029,13/01/2015,121
4402032,13/01/2015,121
4402030,13/01/2015,146
4402035,13/01/2015,113
4402037,13/01/2015,103
4402038,13/01/2015,103
4402041,13/01/2015,103
4402043,13/01/2015,121
4402045,13/01/2015,121
4402047,13/01/2015,112
4402048,13/01/2015,134
4402044,13/01/2015,121
4402051,13/01/2015,157
4402049,13/01/2015,112
4402050,13/01/2015,116
4402050,13/01/2015,105
4402052,13/01/2015,103
4402053,13/01/2015,157
4402053,13/01/2015,157
4402057,13/01/2015,121
4402054,13/01/2015,157
4402055,13/01/2015,112
4402056,13/01/2015,103
4402060,13/01/2015,121
4402058,13/01/2015,116
4402059,13/01/2015,121
4402061,13/01/2015,103
4402065,13/01/2015,112
4402064,13/01/2015,112
4402064,13/01/2015,103
4402063,13/01/2015,121
4402067,13/01/2015,121
4402066,13/01/2015,121
4402033,13/01/2015,121
4402070,13/01/2015,139
4402069,13/01/2015,141
4402069,13/01/2015,134
4402068,13/01/2015,121
4402073,13/01/2015,143
4402071,13/01/2015,103
4402072,13/01/2015,121
4402074,13/01/2015,112
4402076,13/01/2015,143
4402076,13/01/2015,141
4402077,13/01/2015,106
4402079,13/01/2015,121
4402083,13/01/2015,134
4402084,13/01/2015,133
4402086,13/01/2015,132
4402088,13/01/2015,103
4402087,13/01/2015,157
4402090,13/01/2015,132
4402093,13/01/2015,103
